category,price,old_price,sellable_online,other_colors,depth,height,width,discounted,width_d,height_d,depth_d,discount_amount,size
Beds,1795.0,1795.0,True,Yes,53.0,21.0,86.0,0,1,1,1,0.0,95718.0
Beds,295.0,295.0,True,No,53.0,35.0,62.0,0,1,1,1,0.0,115010.0
Beds,695.0,695.0,True,No,81.73493975903614,84.0,240.0,0,1,1,0,0.0,20160.0
Beds,2095.0,2095.0,True,No,81.73493975903614,99.0,164.0,0,1,1,0,0.0,16236.0
Beds,1095.0,1095.0,True,No,81.73493975903614,103.0,66.0,0,1,1,0,0.0,6798.0
Beds,1991.0,2100.0,True,Yes,78.0,69.0,212.0,1,1,1,1,109.0,1140984.0
Beds,2210.0,2395.0,True,No,40.0,43.0,140.0,1,1,1,1,185.0,240800.0
Beds,1175.0,1250.0,True,No,81.73493975903614,186.0,97.0,1,1,1,0,75.0,18042.0
Beds,1445.0,1445.0,True,Yes,97.0,90.0,200.0,0,1,1,1,0.0,1746000.0
Beds,9585.0,9585.0,True,Yes,164.0,102.0,387.0,0,1,1,1,0.0,6473736.0
Beds,4488.0,5610.0,True,Yes,81.73493975903614,84.0,266.0,1,1,1,0,1122.0,22344.0
Beds,1195.0,1195.0,True,No,81.73493975903614,195.0,135.0,0,1,1,0,0.0,26325.0
Beds,5780.0,7225.0,True,Yes,93.0,84.0,266.0,1,1,1,1,1445.0,2077992.0
Beds,3340.0,3340.0,True,Yes,97.0,95.0,160.0,0,1,1,1,0.0,1474400.0
Beds,495.0,495.0,True,No,81.73493975903614,70.0,150.0,0,1,1,0,0.0,10500.0
Beds,595.0,595.0,True,No,81.73493975903614,80.0,66.0,0,1,1,0,0.0,5280.0
Beds,200.0,200.0,True,No,81.73493975903614,82.84713375796179,141.9837837837838,0,0,0,0,0.0,1.0
Beds,2236.0,2795.0,True,Yes,120.0,79.0,200.0,1,1,1,1,559.0,1896000.0
Beds,1800.0,1800.0,True,No,81.73493975903614,29.0,204.0,0,1,1,0,0.0,5916.0
Beds,4645.0,4645.0,True,Yes,98.0,83.0,271.0,0,1,1,1,0.0,2204314.0
Beds,1295.0,1295.0,True,Yes,97.0,90.0,200.0,0,1,1,1,0.0,1746000.0
Beds,50.0,50.0,True,No,81.73493975903614,82.84713375796179,141.9837837837838,0,0,0,0,0.0,1.0
Beds,8356.0,8540.0,True,Yes,81.73493975903614,135.0,180.0,1,1,1,0,184.0,24300.0
Beds,2185.0,2185.0,True,Yes,81.73493975903614,86.0,88.0,0,1,1,0,0.0,7568.0
Beds,695.0,695.0,True,No,81.73493975903614,85.0,67.0,0,1,1,0,0.0,5695.0
Beds,1841.0,1950.0,True,Yes,81.73493975903614,69.0,212.0,1,1,1,0,109.0,14628.0
Beds,2995.0,2995.0,True,Yes,151.0,96.0,230.0,0,1,1,1,0.0,3334080.0
Beds,4320.0,5400.0,True,Yes,113.0,84.0,186.0,1,1,1,1,1080.0,1765512.0
Beds,1596.0,1995.0,True,Yes,90.0,79.0,200.0,1,1,1,1,399.0,1422000.0
Beds,1520.0,1520.0,True,Yes,97.0,90.0,200.0,0,1,1,1,0.0,1746000.0
Beds,300.0,375.0,True,No,88.0,2.0,200.0,1,1,1,1,75.0,35200.0
Beds,7785.0,7785.0,True,Yes,98.0,102.0,294.0,0,1,1,1,0.0,2938824.0
Beds,4270.0,4270.0,True,Yes,98.0,104.0,231.0,0,1,1,1,0.0,2354352.0
Beds,2025.0,2025.0,True,Yes,81.73493975903614,182.0,141.9837837837838,0,0,1,0,0.0,182.0
Beds,795.0,795.0,True,No,81.73493975903614,82.84713375796179,141.9837837837838,0,0,0,0,0.0,1.0
Beds,695.0,695.0,True,No,81.73493975903614,85.0,67.0,0,1,1,0,0.0,5695.0
Beds,1845.0,1845.0,True,Yes,105.0,83.0,225.0,0,1,1,1,0.0,1960875.0
Beds,2945.0,2945.0,True,Yes,98.0,83.0,160.0,0,1,1,1,0.0,1301440.0
Beds,4790.0,4790.0,True,Yes,164.0,104.0,277.0,0,1,1,1,0.0,4724512.0
Beds,75.0,75.0,False,Yes,81.73493975903614,40.0,90.0,0,1,1,0,0.0,3600.0
Beds,125.0,125.0,True,No,81.73493975903614,68.0,97.0,0,1,1,0,0.0,6596.0
Beds,125.0,125.0,True,No,81.73493975903614,68.0,97.0,0,1,1,0,0.0,6596.0
Beds,4036.0,5045.0,True,Yes,81.73493975903614,84.0,273.0,1,1,1,0,1009.0,22932.0
Beds,4841.0,5640.0,True,No,97.0,95.0,160.0,1,1,1,1,799.0,1474400.0
Beds,50.0,50.0,True,No,81.73493975903614,82.84713375796179,141.9837837837838,0,0,0,0,0.0,1.0
Beds,2932.0,3665.0,True,Yes,113.0,84.0,186.0,1,1,1,1,733.0,1765512.0
Beds,4390.0,4390.0,True,Yes,98.0,104.0,267.0,0,1,1,1,0.0,2721264.0
Beds,695.0,695.0,True,No,81.73493975903614,82.84713375796179,141.9837837837838,0,0,0,0,0.0,1.0
Beds,995.0,995.0,True,No,81.73493975903614,86.0,66.0,0,1,1,0,0.0,5676.0
Beds,995.0,995.0,True,No,81.73493975903614,195.0,135.0,0,1,1,0,0.0,26325.0
Beds,3355.0,3355.0,True,Yes,98.0,83.0,190.0,0,1,1,1,0.0,1545460.0
Beds,1676.0,2095.0,True,Yes,90.0,79.0,200.0,1,1,1,1,419.0,1422000.0
Beds,1345.0,1345.0,True,Yes,100.0,87.0,142.0,0,1,1,1,0.0,1235400.0
Beds,6110.0,6110.0,True,Yes,98.0,104.0,235.0,0,1,1,1,0.0,2395120.0
Beds,7765.0,7765.0,True,Yes,98.0,83.0,349.0,0,1,1,1,0.0,2838766.0
Beds,4040.0,4040.0,True,Yes,98.0,102.0,208.0,0,1,1,1,0.0,2079168.0
Beds,4120.0,4120.0,True,Yes,98.0,83.0,246.0,0,1,1,1,0.0,2000964.0
Beds,4265.0,4265.0,True,Yes,98.0,83.0,261.0,0,1,1,1,0.0,2122974.0
Beds,995.0,995.0,True,No,81.73493975903614,86.0,66.0,0,1,1,0,0.0,5676.0
Beds,1980.0,1980.0,True,No,81.73493975903614,182.0,141.9837837837838,0,0,1,0,0.0,182.0
Beds,1095.0,1095.0,True,No,81.73493975903614,103.0,66.0,0,1,1,0,0.0,6798.0
Beds,85.0,85.0,True,No,81.73493975903614,80.0,141.9837837837838,0,0,1,0,0.0,80.0
Beds,995.0,995.0,True,No,81.73493975903614,86.0,66.0,0,1,1,0,0.0,5676.0
Beds,1996.0,2495.0,True,Yes,120.0,79.0,200.0,1,1,1,1,499.0,1896000.0
Beds,5840.0,5840.0,True,Yes,164.0,102.0,298.0,0,1,1,1,0.0,4984944.0
Beds,1645.0,1645.0,True,Yes,100.0,87.0,142.0,0,1,1,1,0.0,1235400.0
Beds,3145.0,3145.0,True,Yes,98.0,104.0,160.0,0,1,1,1,0.0,1630720.0
Beds,7873.0,9430.0,True,No,164.0,102.0,298.0,1,1,1,1,1557.0,4984944.0
Beds,985.0,985.0,True,No,81.73493975903614,86.0,66.0,0,1,1,0,0.0,5676.0
Beds,5553.0,6530.0,True,No,98.0,102.0,208.0,1,1,1,1,977.0,2079168.0
Beds,995.0,995.0,True,No,81.73493975903614,86.0,66.0,0,1,1,0,0.0,5676.0
Bookcases & shelving units,135.0,138.0,True,No,51.0,70.0,25.0,1,1,1,1,3.0,89250.0
Bookcases & shelving units,290.0,350.0,True,No,36.0,181.0,92.0,1,1,1,1,60.0,599472.0
Bookcases & shelving units,915.0,1023.0,True,No,51.0,173.0,198.0,1,1,1,1,108.0,1746954.0
Bookcases & shelving units,345.0,345.0,True,No,35.0,81.0,80.0,0,1,1,1,0.0,226800.0
Bookcases & shelving units,375.0,437.0,True,No,51.0,160.0,182.0,1,1,1,1,62.0,1485120.0
